route,controller,permission,entitlement,tenant_enforcement,resource_relationship_scope,lifecycle,SoD,service_evidence,known_gap
POST /api/v1/accounting/fiscal-years/:id/reopen-year,AccountingController.reopenFiscalYear,'accounting:fiscal:reopen','module.accounting',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant journal/period; no teacher/guardian access expected,SUBMITTED->APPROVED->POSTED; open period; reversal lineage,Creator cannot approve own manual journal; accountant still combines approve/post/reverse/reopen,AccountingService; AccountingPostingService; tenant lookups and state checks; apps/api/src/accounting/accounting.controller.ts:560,"Partial dynamic SoD; Phase 2C, not a claim of absent journal protection"
POST /api/v1/payroll/runs/:id/approve,PayrollController.approveRun,'payroll:run:approve','module.payroll',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant payroll run; self staff/user for own payslip,Readiness + lifecycle states; posting/reversal services,HR preset prepares/reviews; payroll approve permission separate; no comprehensive actor separation proved,PayrollService; PayrollReadinessService; getPayrollRunOrThrow; own payslip staff check; apps/api/src/payroll/payroll.controller.ts:251,Approval path contains multiple writes outside one encompassing transaction; failure-injection gap for Phase 2D/7J; H10: no approved effective-dated statutory rate/policy reference for calculated lines
POST /api/v1/payroll/runs/:id/review,PayrollController.reviewRun,'payroll:run:review','module.payroll',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant payroll run; self staff/user for own payslip,Readiness + lifecycle states; posting/reversal services,HR preset prepares/reviews; payroll approve permission separate; no comprehensive actor separation proved,PayrollService; PayrollReadinessService; getPayrollRunOrThrow; own payslip staff check; apps/api/src/payroll/payroll.controller.ts:257,Approval path contains multiple writes outside one encompassing transaction; failure-injection gap for Phase 2D/7J
POST /api/v1/payroll/runs/:id/post,PayrollController.postRun,'payroll:run:post','module.payroll',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant payroll run; self staff/user for own payslip,Readiness + lifecycle states; posting/reversal services,HR preset prepares/reviews; payroll approve permission separate; no comprehensive actor separation proved,PayrollService; PayrollReadinessService; getPayrollRunOrThrow; own payslip staff check; apps/api/src/payroll/payroll.controller.ts:298,Approval path contains multiple writes outside one encompassing transaction; failure-injection gap for Phase 2D/7J; H10: posting can consume lines calculated using fixed PF/TDS rates without policy-version evidence
POST /api/v1/payroll/runs/:id/reverse,PayrollController.reverseRun,'payroll:run:reverse','module.payroll',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant payroll run; self staff/user for own payslip,Readiness + lifecycle states; posting/reversal services,HR preset prepares/reviews; payroll approve permission separate; no comprehensive actor separation proved,PayrollService; PayrollReadinessService; getPayrollRunOrThrow; own payslip staff check; apps/api/src/payroll/payroll.controller.ts:323,Approval path contains multiple writes outside one encompassing transaction; failure-injection gap for Phase 2D/7J
GET /api/v1/payroll/me/payslips/:payslipNumber.pdf,PayrollController.getMyPayslipPdf,'staff:read','module.payroll',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant payroll run; self staff/user for own payslip,Readiness + lifecycle states; posting/reversal services,HR preset prepares/reviews; payroll approve permission separate; no comprehensive actor separation proved,PayrollService; PayrollReadinessService; getPayrollRunOrThrow; own payslip staff check; apps/api/src/payroll/payroll.controller.ts:351,Approval path contains multiple writes outside one encompassing transaction; failure-injection gap for Phase 2D/7J
GET /api/v1/staff/directory,StaffController.listStaffDirectory,'staff:read','module.hr',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant; own staff for /me; directory projection for role/persona,Staff status/lifecycle controlled by service,Salary capability separate; hr:manage still broad,StaffService; canSeeSensitiveStaffData; staff serializer; apps/api/src/staff/staff.controller.ts:46,"Salary/bank masking exists, broad hr:manage projection needs Phase 3B/7H review"
GET /api/v1/staff/:id,StaffController.getStaffDetail,'staff:read','module.hr',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant; own staff for /me; directory projection for role/persona,Staff status/lifecycle controlled by service,Salary capability separate; hr:manage still broad,StaffService; canSeeSensitiveStaffData; staff serializer; apps/api/src/staff/staff.controller.ts:98,"Salary/bank masking exists, broad hr:manage projection needs Phase 3B/7H review"
GET /api/v1/platform/tenants,PlatformController.listTenants,'platform:tenants:read',TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,PLATFORM domain and global grant; explicit target only under control-plane service,"Active support session, expiry, exact reason and route scope, GET-only",Only platform_super_admin can enter approved support context,PlatformGuard; PlatformService; JwtAuthGuard support override validation; apps/api/src/platform/platform.controller.ts:78,Existing bounded support access retained; hosted provider/operator behavior unverified
POST /api/v1/roles/assign,RolesController.assignRoles,roles:assign,TenantActiveGuard; no module entitlement,JwtAuthGuard + TenantActiveGuard; live school session; tenant-scoped Prisma and service checks,Target user and every role must belong to actor tenant; Platform role names rejected,Live actor session/status/grant rechecked under tenant/user locks; expiry and protected-role revocation rules,Last active School Configuration Owner cannot be removed; no self-target or grant-ceiling check,RolesService.assignRolesInTransaction; withSchoolAuthorizationTransaction; audit and user cache invalidation; apps/api/src/roles/roles.controller.ts:37; roles.service.ts:251-414,H08 candidate: holder of roles:assign may assign self any tenant school role; no delegation ceiling
POST /api/v1/roles/:id/permissions,RolesController.assignPermissions,roles:manage_permissions,TenantActiveGuard; no module entitlement,JwtAuthGuard + TenantActiveGuard; live school session; tenant-scoped Prisma and service checks,Target role in actor tenant; Platform role/permission keys rejected,Live actor session/status/grant rechecked in transaction; role permission set replaced,"No maximum grant set, protected system-role immutability or self-escalation constraint",RolesService.assignPermissionsInTransaction; withSchoolAuthorizationTransaction; audit and tenant cache invalidation; apps/api/src/roles/roles.controller.ts:58; roles.service.ts:156-248,"H08 candidate: school permission manager can grant any non-Platform key, including finance"
GET /api/v1/roles/finance-reconciliation,RolesController.previewFinancePermissionReconciliation,roles:manage_permissions,TenantActiveGuard; no module entitlement,JwtAuthGuard + TenantActiveGuard; live school session; tenant-scoped Prisma and service checks,Tenant preset roles and active Accountant assignments,Preview BLOCKED without active Accountant; no mutation,Read-only preview; no actor separation,RolesService.previewFinancePermissions; apps/api/src/roles/roles.controller.ts:43; roles.service.ts:416-484,Preview is not proof that all finance role combinations satisfy SoD
POST /api/v1/roles/finance-reconciliation/apply,RolesController.reconcileFinancePermissions,roles:manage_permissions,TenantActiveGuard; no module entitlement,JwtAuthGuard + TenantActiveGuard; live school session; tenant-scoped Prisma and service checks,Named tenant finance presets; expected school keys,Reason required; live grant/session rechecked in locked transaction; preset diff applied,No separate approver for finance permission reconciliation,RolesService.reconcileFinancePermissionsInTransaction; audit and tenant cache invalidation; apps/api/src/roles/roles.controller.ts:49; roles.service.ts:486-577,H08 candidate: same broad school role manager controls high-risk permission mutation
POST /api/v1/payments,PaymentsController.collectPayment,payments:collect,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Invoice IDs and student must resolve in actor tenant; mixed-student allocation rejected,Idempotency key; positive Decimal; remaining invoice balance and receipt sequence checks,Collector permission only; no approval prerequisite for ordinary collection,FinanceService.collectPayment; tenant invoice/student lookups and receipt/accounting posting; apps/api/src/finance/payments.controller.ts:80; finance.service.ts:6497-6913,Finance permission combinations and provider recovery require separate SoD/retry review
GET /api/v1/payments/:id/allocations,PaymentsController.listPaymentAllocations,No @Permissions decorator; service OR: payments:collect/refund/reverse or fees:manage,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Payment and allocation rows tenant-scoped; bounded pagination,Read-only allocation history,No approval SoD for read,FinanceService.listPaymentAllocations checks any listed permission and audits view; apps/api/src/finance/payments.controller.ts:61; finance.service.ts:6915-6960,Guard allows school route without permission metadata; service carries sole permission check
POST /api/v1/payments/:id/refund,PaymentsController.refundPayment,payments:refund,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Payment/refund/journal and allocations scoped to actor tenant,Reason/idempotency; refundable balance; closed cashier denial; open period; transaction with journal,No approved FinanceApprovalRequest prerequisite in direct service method,FinanceService.refundPayment locks payment and posts refund lineage; apps/api/src/finance/payments.controller.ts:232; finance.service.ts:7904-8265,H07 candidate: direct privileged refund route does not require reviewed request; optional request/review workflow is separate
POST /api/v1/payments/:id/reverse,PaymentsController.reversePayment,payments:reverse,module.fees via EntitlementGuard; feature.fees.reversals checked in service,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Payment and ledger source looked up in actor tenant,Reason/idempotency; reversal eligibility and ledger lineage,No approved FinanceApprovalRequest prerequisite in direct service method,FinanceService.reversePayment; apps/api/src/finance/payments.controller.ts:242; finance.service.ts:8367-8640,H07 candidate: direct privileged reversal route does not require reviewed request; optional request/review workflow is separate
POST /api/v1/payments/:id/refund/request,PaymentsController.requestRefund,payments:collect,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Payment in actor tenant; tenant-scoped request idempotency,Reversed/fully refunded payment denied; pending duplicate request denied,Requester recorded; separate review endpoint enforces different actor,FinanceService.requestRefund; apps/api/src/finance/payments.controller.ts:262; finance.service.ts:7252-7360,Direct privileged refund endpoint remains available without this request
POST /api/v1/payments/:id/reverse/request,PaymentsController.requestReversal,payments:collect,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Payment in actor tenant; tenant-scoped request idempotency,Pending duplicate request and reversal eligibility checked,Requester recorded; separate review endpoint enforces different actor,FinanceService.requestReversal; apps/api/src/finance/payments.controller.ts:272; finance.service.ts:7437-7589,Direct privileged reversal endpoint remains available without this request
POST /api/v1/payments/requests/:id/review,PaymentsController.reviewApprovalRequest,No @Permissions decorator; controller OR: payments:refund/reverse or platform_super_admin; service action-specific permission,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Request ID resolved in actor tenant; action-specific service permission,PENDING only; claim PROCESSING before idempotent execution; failures recorded,Requester cannot review own request except platform_super_admin branch; school route Platform access separately denied,FinanceService.reviewApprovalRequest invokes refundPayment/reversePayment; apps/api/src/finance/payments.controller.ts:296; finance.service.ts:7690-7850,H07 candidate: direct execution routes do not require request; controller/service role exceptions differ
GET /api/v1/payments/requests,PaymentsController.listApprovalRequests,No @Permissions decorator; controller OR: payments:refund/reverse or platform_super_admin; service OR: payments:refund/reverse or admin,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Tenant-scoped requests and payment relations; bounded pagination,Read-only request history,No approval SoD for read,FinanceService.listApprovalRequests; apps/api/src/finance/payments.controller.ts:282; finance.service.ts:7591-7688,Controller and service use different role exceptions; effective school access requires refund/reverse permission
POST /api/v1/payments/cashier-close/:id/approve,PaymentsController.approveCashierClose,payments:close,module.fees via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and FinanceService actor.tenantId predicates,Cashier close ID resolved in actor tenant,Only SUBMITTED to APPROVED transition,SubmittedById must differ from approver userId,FinanceService.approveCashierClose/transitionCashierClose; apps/api/src/finance/payments.controller.ts:202; finance.service.ts:8806-8832,Same payments:close key spans submit/approve/close; actor check exists for submitter
POST /api/v1/academics/marks/bulk-upsert,AcademicsController.bulkUpsertMarks,academics:enter_marks,module.exams via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId predicates,"Tenant term/component/class/section/student checks; teacher assignment by actual student section, subject and component","Client authority fence; exam/mark locks, correction approval, retake state and mark-version checks",Draft mark entry has no maker-checker; publication separately permissioned,MarksService.bulkUpsert and TeacherScopeService.requireAccess; apps/api/src/academics/academics.controller.ts:391; marks.service.ts:65-399,Teacher-scope denials are returned per row; mixed unauthorized rows do not force whole-batch denial; H09: per-row teacher assignment checked; current professional eligibility not represented
PATCH /api/v1/academics/marks/:id,AcademicsController.updateMark,academics:enter_marks,module.exams via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId predicates,Mark/student/term tenant lookups and teacher write assignment for class/section/subject/component,Locked mark/term requires approved correction; active retake blocks direct edit,Draft mark edit has no maker-checker; separate lock/review/publication permissions,MarksService.updateMark/assertMarkWriteAccess; apps/api/src/academics/academics.controller.ts:400; marks.service.ts:653-903,Existing teacher assignment logic retained; H09: exact teacher assignment checked; current professional eligibility not represented
GET /api/v1/academics/results/publishing,AcademicsController.listPublishingReadiness,academics:read,module.exams via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId predicates,Tenant report-card list with bounded page,"Locked card, active retake and optional dues become blocked reasons",Read-only readiness,ResultPublishingService.listPublishingReadiness; apps/api/src/academics/academics.controller.ts:685; result-publishing.service.ts:70-173,Service explicitly denies support override; readiness response is not a publish grant
POST /api/v1/academics/results/publishing/publish,AcademicsController.publishResults,results:publish,module.exams via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId predicates,Explicit report-card IDs or tenant academic-year/term/class/section scope; missing IDs returned failed,LOCKED card required; active retake and configured unpaid-dues checks; already published skipped,Elevated publish permission; no distinct publisher-creator actor comparison,ResultPublishingService.publishResults; apps/api/src/academics/academics.controller.ts:704; result-publishing.service.ts:175-281,No per-card teacher assignment check beyond elevated permission; policy review belongs later slice
POST /api/v1/academics/results/publishing/unpublish,AcademicsController.unpublishResults,results:unpublish,module.exams via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId predicates,Explicit tenant report-card IDs; foreign IDs failed,Nonempty reason; only PUBLISHED cards changed; audit,Separate unpublish permission; no second-actor review in service,ResultPublishingService.unpublishResults; apps/api/src/academics/academics.controller.ts:713; result-publishing.service.ts:284-339,Published-state transition alone does not establish version-preserving correction workflow
POST /api/v1/academics/results/publishing/notify,AcademicsController.notifyResults,academics:manage_report_cards,module.exams via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId predicates,Tenant report cards; child-specific delivery resolution,Only PUBLISHED card for ACTIVE student notified,Separate result publish route; notification action uses report-card management permission,ResultPublishingService.notifyResults and CommunicationsService.recordDeliveryRecords; apps/api/src/academics/academics.controller.ts:722; result-publishing.service.ts:341-413,Notification retries/provider behavior are outside this reviewed endpoint row
POST /api/v1/students/:id/guardians,StudentsController.addStudentGuardian,guardians:create,module.students via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId resource predicates,Student and existing guardian in actor tenant; pair uniqueness; no Parent self-link route,Only active relationship may be primary; access fields require guardians:verify,No distinct reviewer for ordinary link creation,StudentsService.addStudentGuardian/assertGuardianAccessWriteAllowed; serializable transaction and audit; apps/api/src/students/students.controller.ts:205; students.service.ts:2270-2415,Same actor with guardians:verify may set relationship authority; governance review later
